y1_y1,y1_y2,y2_y1,y2_y2
0.59072024,-0.258952,-0.258952,0.9281904
1.125616,0.003939304,0.003939304,1.7466718
0.83181924,-0.34566614,-0.34566614,2.3765047
0.53389394,-0.308551,-0.308551,1.9413135
0.46635142,-0.5142506,-0.5142506,1.8944259
0.37313297,-0.28172252,-0.28172252,1.3240665
0.8086898,-0.34957606,-0.34957606,1.4739916
0.866737,-0.4295344,-0.4295344,1.1826619
0.7587963,-0.31347165,-0.31347165,1.2663193
1.5597628,-0.1240735,-0.1240735,0.92476815
0.7992538,-0.31718946,-0.31718946,0.9905484
1.0394623,-0.40700668,-0.40700668,0.96773785
0.47361,-0.44639486,-0.44639486,0.9878954
0.92896026,-0.50517225,-0.50517225,1.3713462
0.57598186,-0.17388557,-0.17388557,0.92645484
0.38254398,-0.10509058,-0.10509058,1.3214586
0.5006596,-0.33635435,-0.33635435,0.9822392
0.47582155,-0.113261506,-0.113261506,1.0303999
0.8190394,-0.3960508,-0.3960508,1.2776918
1.2178304,-0.46228322,-0.46228322,1.2174429
0.7421773,-0.3386005,-0.3386005,1.5589689
0.79279804,-0.48042542,-0.48042542,2.4882505
0.4359505,-0.3701593,-0.3701593,1.9588532
0.6709288,-0.76583153,-0.76583153,2.2245378
0.43997574,0.065430745,0.065430745,1.6275811
0.78190356,-0.4651622,-0.4651622,2.0231745
1.2090738,-0.4053346,-0.4053346,1.2731625
2.1271582,-0.26459655,-0.26459655,1.35421
1.5724622,-0.61544776,-0.61544776,1.4815736
1.448738,-0.22645274,-0.22645274,1.7795174
1.3657808,-0.32933074,-0.32933074,1.4882264
1.4314233,-0.8317074,-0.8317074,1.94221
1.6388667,-1.8233732,-1.8233732,6.032766
0.656341,-0.53262097,-0.53262097,2.7629871
0.5419672,-0.25934052,-0.25934052,1.6061288
0.81605816,0.012961092,0.012961092,1.0434968
0.39765686,-0.03422226,-0.03422226,1.3980383
0.27657068,-0.17481454,-0.17481454,1.0941714
0.2683242,-0.093948275,-0.093948275,2.0846434
0.3384813,-0.20877579,-0.20877579,1.749662
0.5514352,-0.033846013,-0.033846013,0.97581804
0.55525076,0.16289528,0.16289528,1.2479438
0.7662193,0.4726255,0.4726255,0.9986005
0.8044002,0.43145072,0.43145072,0.8314396
1.0949116,1.0072913,1.0072913,1.7067806
1.5016459,0.7058323,0.7058323,0.9111592
0.78459895,0.16732231,0.16732231,0.7931447
0.92453104,0.32642266,0.32642266,1.1601471
0.8893323,-0.24789745,-0.24789745,1.5683273
0.92341745,-0.7289245,-0.7289245,1.8279717
1.0667043,-0.8532055,-0.8532055,1.7019498
0.48120958,-0.4967823,-0.4967823,1.2567549
0.3212606,-0.39734337,-0.39734337,1.7438802
0.76117784,-0.7041698,-0.7041698,3.6382482
0.7057032,0.028119192,0.028119192,4.75941
1.0789595,-0.062909596,-0.062909596,2.027516
0.5547934,0.012014774,0.012014774,1.5766121
0.4844694,-0.041896045,-0.041896045,1.6409094
0.4088862,-0.17334025,-0.17334025,2.1477733
0.5033694,-0.22849824,-0.22849824,1.6430665
0.7891373,-0.4916706,-0.4916706,1.0247754
1.1755389,-0.68808424,-0.68808424,1.2011161
1.4209971,-0.8888903,-0.8888903,1.0339991
0.8169535,-0.38910818,-0.38910818,1.1288215
0.96452737,-0.46344614,-0.46344614,0.87285876
0.91133934,-0.44327754,-0.44327754,1.1240743
0.5481578,-0.30143714,-0.30143714,1.4420129
0.6083526,0.16159259,0.16159259,1.7304493
0.354695,0.058193266,0.058193266,2.1365418
0.40101603,-0.02257576,-0.02257576,2.3312588
0.3876494,0.19169272,0.19169272,1.3873106
0.23081602,0.24321568,0.24321568,2.6184337
0.3235222,0.103230156,0.103230156,0.975003
0.3097145,0.08270778,0.08270778,0.7093444
0.8787599,0.2975749,0.2975749,0.6240978
0.73618084,0.33824554,0.33824554,0.50235647
0.5340485,0.27981707,0.27981707,0.56959385
0.5486993,0.18271014,0.18271014,0.3769478
0.78668654,0.1094778,0.1094778,0.49708682
0.97012883,0.05070291,0.05070291,0.20473795
1.0895647,0.10843489,0.10843489,0.16000345
0.8062263,-0.27902138,-0.27902138,0.41077656
1.9594575,-0.10375877,-0.10375877,0.2981935
1.5162123,0.124355406,0.124355406,0.36273667
1.3961807,-0.021125799,-0.021125799,0.42256758
1.1306807,-0.10217275,-0.10217275,0.4966095
1.0826733,0.033714827,0.033714827,0.24716905
0.6386787,-0.0022885776,-0.0022885776,0.24882448
0.91867566,-0.36445075,-0.36445075,0.39971778
0.76543576,-0.27097225,-0.27097225,0.48395756
0.6624416,-0.2106323,-0.2106323,0.24237818
0.60307884,-0.23814516,-0.23814516,0.3175894
0.8285537,-0.2595561,-0.2595561,0.313409
0.81376934,-0.41494703,-0.41494703,0.5090162
1.0287718,-0.3793827,-0.3793827,0.57499766
0.6166474,0.06799995,0.06799995,0.31636843
0.4444833,0.08928095,0.08928095,0.33379632
0.4421528,0.093699545,0.093699545,0.8942356
0.6021985,0.3049772,0.3049772,0.64237654
0.71341366,0.45952538,0.45952538,0.761358
