id,chr,bp,cM
R687,1,0,0.0
C161,1,0,0.3
C602,1,0,0.6
S1442,1,0,5.3
C970,1,0,5.6
S10623,1,0,7.0
R87,1,0,8.4
C749,1,0,8.7
S13048,1,0,9.5
R753,1,0,10.9
S14064,1,0,12.3
V31,1,0,12.8
C804,1,0,13.1
G5001,1,0,16.1
W598,1,0,16.9
C470,1,0,19.9
R480B,1,0,20.2
S1778,1,0,22.7
W168B,1,0,23.8
R1944,1,0,24.1
G359,1,0,25.5
R3192,1,0,26.9
L612,1,0,27.4
S4325S,1,0,29.0
C319,1,0,29.8
S14085,1,0,30.9
G1184C,1,0,32.7
R665,1,0,37.1
R457,1,0,37.6
C955,1,0,39.0
S11941A,1,0,41.4
V92,1,0,42.6
S10245,1,0,43.4
S11214,1,0,45.6
R844,1,0,46.5
S11122,1,0,47.4
C113,1,0,49.2
R2151S,1,0,49.7
C1338,1,0,50.5
C1211,1,0,52.1
S10086,1,0,52.4
S10591,1,0,53.9
C916A,1,0,54.3
R210,1,0,55.4
R1712,1,0,58.1
R2167,1,0,58.4
V138,1,0,60.3
S2139,1,0,60.6
L429,1,0,63.9
S1501,1,0,65.0
S13927,1,0,65.5
R2280,1,0,65.9
C52903S,1,0,66.3
C1905,1,0,66.6
Y5714L,1,0,69.1
S11337,1,0,69.4
C1733S,1,0,71.3
R2501A,1,0,71.8
C45,1,0,72.9
S14028,1,0,73.2
C178,1,0,73.5
S13849,1,0,87.6
R2159,1,0,87.9
P102,1,0,90.9
R1928,1,0,91.4
Y3154R,1,0,92.2
S13994,1,0,93.6
S1945,1,0,94.7
Y2820L,1,0,95.0
W394,1,0,96.3
M163A,1,0,96.9
R2374B,1,0,97.8
S13559,1,0,99.0
R2635,1,0,100.9
G3001,1,0,102.0
V67,1,0,102.3
C1456,1,0,102.8
C409,1,0,103.6
R1485,1,0,103.9
R2374,1,0,104.2
G6003,1,0,104.5
C808,1,0,106.7
L666,1,0,108.1
P77,1,0,108.6
B2G7,1,0,109.7
R886,1,0,110.6
C10728S,1,0,113.4
C122,1,0,113.7
V176,1,0,114.5
S2717,1,0,116.9
R1012,1,0,119.4
C922A,1,0,121.0
R178,1,0,121.5
R559,1,0,122.0
S11702,1,0,122.5
S10045,1,0,123.0
C1162,1,0,123.5
L417,1,0,123.8
S10634A,1,0,124.3
C137,1,0,125.1
G1372,1,0,126.5
C911,1,0,126.8
G393,1,0,127.6
L268,1,0,129.0
S10712,1,0,129.3
C1282,1,0,129.6
L694,1,0,130.4
C250,1,0,132.4
R3347,1,0,134.3
R758,1,0,134.6
S2245,1,0,135.1
C836,1,0,136.2
W578,1,0,136.5
R2347A,1,0,137.0
C813,1,0,137.3
R1623S,1,0,137.6
P42,1,0,138.4
C3125,1,0,139.6
C1979,1,0,139.9
R494,1,0,140.5
G370,1,0,140.8
C191A,1,0,141.9
C1257,1,0,142.7
S10925,1,0,143.2
C1127B,1,0,143.5
C283,1,0,144.0
C434,1,0,144.5
S12805,1,0,145.3
C727A,1,0,145.6
C86,1,0,146.7
W78,1,0,147.2
C1439,1,0,147.5
S2523,1,0,151.4
L819,1,0,155.0
R2625,1,0,155.3
S13312,1,0,155.6
C3120,1,0,157.5
G2200,1,0,158.0
V137,1,0,158.3
S10526,1,0,158.6
R1545,1,0,158.9
S11062,1,0,159.4
T91,1,0,159.7
R3203,1,0,160.0
B183,1,0,161.1
S1046,1,0,161.9
G54,1,0,162.2
C742,1,0,163.8
S2672,1,0,164.1
C1482,1,0,164.4
P26,1,0,166.0
C225,1,0,167.2
W858,1,0,167.5
S10581,1,0,169.7
L726,1,0,170.3
T44,1,0,176.5
S13931,1,0,180.8
C112,1,0,181.1
P61,1,0,181.7
C1357,2,0,0.0
L653,2,0,2.5
V70,2,0,3.3
W8A,2,0,3.6
R2710,2,0,4.7
T89,2,0,6.6
S910,2,0,7.7
R2460,2,0,8.4
S10889,2,0,11.5
R1738B,2,0,14.5
S14004,2,0,15.0
R2242S,2,0,17.0
R459,2,0,17.5
G1003,2,0,17.8
C1796,2,0,18.3
C915,2,0,18.6
C421,2,0,18.9
C994,2,0,20.8
G1327,2,0,21.9
T83,2,0,23.5
T82,2,0,24.3
R2344,2,0,26.8
C1246,2,0,27.9
C132,2,0,30.1
C149,2,0,30.6
R2164,2,0,31.1
C365,2,0,31.6
R394,2,0,32.7
W113,2,0,33.0
C630,2,0,33.5
G227,2,0,36.2
C2168,2,0,36.7
S10927S,2,0,37.0
V5A,2,0,37.6
S14115,2,0,39.4
Y2724R,2,0,41.9
C980,2,0,42.2
P17,2,0,44.3
