Trait,Marker_ID,Estimate,SD,Model_Frequency
y1,1,3.4303102e-5,0.0028304788,1.0
y1,2,-9.809289e-5,0.0028371788,1.0
y1,3,-5.2959273e-5,0.0027387096,1.0
y1,4,2.0880241e-5,0.002700701,1.0
y1,5,8.820087e-5,0.0027601381,1.0
y1,6,9.4273266e-5,0.0028268562,1.0
y1,7,-6.199276e-5,0.0027579516,1.0
y1,8,-5.3082385e-7,0.0027029046,1.0
y1,9,-5.9992876e-6,0.0027587072,1.0
y1,10,-4.2535197e-5,0.0027365612,1.0
y1,11,-3.8296548e-5,0.0027319018,1.0
y1,12,-0.00013213964,0.0028222858,1.0
y1,13,-1.0525775e-5,0.0027329263,1.0
y1,14,-0.00015295754,0.0027110754,1.0
y1,15,7.5806405e-5,0.002813659,1.0
y1,16,-2.0795118e-5,0.0028233957,1.0
y1,17,-8.393907e-5,0.0027767946,1.0
y1,18,8.4706386e-5,0.0028019722,1.0
y1,19,-3.094069e-5,0.0027977999,1.0
y1,20,2.4176668e-5,0.0028545982,1.0
y1,21,2.3590728e-5,0.0028412354,1.0
y1,22,-8.8702036e-5,0.0027060658,1.0
y1,23,0.00017144882,0.0028041014,1.0
y1,24,-2.1437514e-5,0.0026900799,1.0
y1,25,-6.5949636e-5,0.0027612043,1.0
y1,26,-7.3445015e-5,0.002758883,1.0
y1,27,-4.8726215e-5,0.0027494163,1.0
y1,28,0.00019901054,0.0028061906,1.0
y1,29,-5.9333066e-5,0.0027508757,1.0
y1,30,-0.00023287708,0.0027645542,1.0
y1,31,0.000101623344,0.0028396968,1.0
y1,32,-2.5461366e-5,0.002735799,1.0
y1,33,0.00014957521,0.0028499535,1.0
y1,34,-4.104746e-5,0.0028152906,1.0
y1,35,4.4509485e-5,0.0026604382,1.0
y1,36,0.00017895101,0.0026921658,1.0
y1,37,-0.00017002739,0.0028017745,1.0
y1,38,2.8694722e-5,0.0027503993,1.0
y1,39,4.347532e-6,0.0026788681,1.0
y1,40,-7.732138e-6,0.002803443,1.0
y1,41,-5.938597e-5,0.0028356318,1.0
y1,42,-4.52241e-5,0.002741241,1.0
y1,43,3.173247e-5,0.0028553319,1.0
y1,44,6.6644636e-5,0.002758542,1.0
y1,45,-7.531988e-5,0.0027909407,1.0
y1,46,-0.00012870837,0.002729476,1.0
y1,47,-1.2729422e-5,0.0026596456,1.0
y1,48,2.4657763e-6,0.0026575734,1.0
y1,49,1.4977785e-5,0.0027314583,1.0
y1,50,5.0165247e-5,0.0026485622,1.0
y1,51,7.4859995e-6,0.0027705852,1.0
