Trait,Marker_ID,Estimate,SD,Model_Frequency
y1,1,-0.0011745689,0.041003536,0.99000007
y1,2,0.0016405225,0.039564837,0.99000007
y1,3,-0.0014159374,0.03644011,0.97
y1,4,-0.011057467,0.038941015,0.99000007
y1,5,-0.012936886,0.03849089,0.99000007
y1,6,-0.010080409,0.037821893,0.97999996
y1,7,-0.0030417177,0.043326966,0.99000007
y1,8,-0.0033038782,0.040410984,0.9600001
y1,9,0.0013584025,0.035331897,0.99
y1,10,-0.0019555741,0.03735912,0.99000007
y1,11,-0.01196878,0.040430676,0.99000007
y1,12,-0.0006675813,0.041059636,0.96999997
y1,13,0.00035848096,0.03276524,0.99000007
y1,14,0.0052110134,0.04477046,0.99000007
y1,15,0.004209399,0.03789811,0.96
y1,16,-0.0062693628,0.03525017,0.97999996
y1,17,0.0011585732,0.038990412,0.97
y1,18,-0.0045304694,0.032060165,0.97999996
y1,19,-0.0059909117,0.037457254,0.96000004
y1,20,-0.003983825,0.042723563,0.97
y1,21,0.012924284,0.042657714,0.98
y1,22,0.005238722,0.038619004,0.97999996
y1,23,-0.011370101,0.03523646,0.99000007
y1,24,-0.012923598,0.031624697,0.99000007
y1,25,0.0019463588,0.035911888,1.0
y1,26,0.008999866,0.03798833,1.0
y1,27,-0.015111471,0.037153322,0.96000004
y1,28,0.0070509827,0.03714091,0.99000007
y1,29,-0.013077008,0.038962144,0.99000007
y1,30,-0.0074872538,0.03509912,0.99000007
y1,31,-0.008757282,0.04375093,0.96999997
y1,32,-0.008206837,0.039558906,0.96
y1,33,0.0116723385,0.036205042,0.99000007
y1,34,0.0031257772,0.038122125,0.9900001
y1,35,-0.007102754,0.0372116,0.98
y1,36,-0.0062497277,0.04034728,0.99000007
y1,37,0.020344079,0.04230758,0.97999996
y1,38,0.007593673,0.034071688,0.97999996
y1,39,0.0023156984,0.040502988,0.9499999
y1,40,-0.0038020671,0.035573687,0.99000007
y1,41,0.002672866,0.04322971,0.9400001
y1,42,-0.0028049678,0.036070433,1.0
y1,43,0.008045827,0.038860887,0.97999996
y1,44,0.012575208,0.043319058,0.97
y1,45,0.0013360955,0.038032934,0.96
y1,46,-0.0077681085,0.037190624,0.97
y1,47,-0.009035287,0.038660545,0.9700001
y1,48,0.0024542136,0.034649584,0.9900001
y1,49,0.00075143774,0.036848865,0.97999996
y1,50,-0.0013168445,0.035502795,0.99000007
y1,51,-0.00873044,0.040536422,0.99000007
y1,52,0.0035941915,0.04108762,0.99000007
y1,53,-0.0022089183,0.043196492,0.99000007
y1,54,-0.00048864936,0.041136418,0.97
y1,55,0.0030624822,0.040205028,0.96999997
y1,56,-0.017077625,0.03902489,0.98
y1,57,0.0027968278,0.042452294,0.99000007
y1,58,0.00085791736,0.037488148,0.97
y1,59,-0.0071048066,0.040313303,0.97
y1,60,0.004000724,0.03579061,0.97999996
y1,61,0.00055113964,0.03859848,0.99000007
y1,62,0.008396521,0.036755677,0.97999996
y1,63,0.0034111014,0.038231365,0.99000007
y1,64,0.0077712843,0.03538489,0.96
y1,65,-0.007389171,0.036756363,0.99000007
y1,66,-0.0069079483,0.03876419,0.97999996
y1,67,0.009410106,0.040634166,1.0
y1,68,0.00026309356,0.038690004,0.96
y1,69,-0.0092380205,0.036546096,0.95
y1,70,-0.0018430669,0.03765742,1.0
y1,71,-0.0064043235,0.03780825,0.98
y1,72,0.012331042,0.034918457,0.97
y1,73,-0.000473296,0.04234219,0.97999996
y1,74,0.007962813,0.042214036,1.0
y1,75,0.0025005976,0.035988174,0.94
y1,76,-0.0013800221,0.032898657,1.0
y1,77,-0.007714144,0.041358445,0.9900001
y1,78,0.0019656362,0.036297813,0.96
y1,79,-0.00018503777,0.0390781,0.96
y1,80,-0.0053065065,0.034600567,0.98
y1,81,-0.006154204,0.041337173,0.99000007
y1,82,-0.002390169,0.03723201,1.0
y1,83,0.017817331,0.03782227,1.0
y1,84,0.0042128228,0.03672994,0.99000007
y1,85,0.0037215,0.03068335,0.97
y1,86,0.04409319,0.04087568,0.97999996
y1,87,-0.012140561,0.04482432,0.97
y1,88,-0.006181614,0.04071387,0.97999996
y1,89,0.0072131096,0.04038447,0.97999996
y1,90,0.0050338465,0.035699643,0.97
y1,91,-0.00036319115,0.041331675,0.97999996
y1,92,0.01542375,0.03354448,0.96999997
y1,93,-0.0031419806,0.040502187,0.98
y1,94,0.0038303866,0.041561868,0.97999996
y1,95,-0.00492541,0.041254405,1.0
y1,96,0.008040076,0.033772398,0.96
y1,97,0.020918002,0.03717495,0.99000007
y1,98,-0.0019410066,0.036093265,0.96
y1,99,0.02301392,0.039283223,0.96000004
y1,100,0.0061424146,0.039510168,0.97999996
y1,101,0.009524842,0.034482073,0.97999996
y1,102,0.006152331,0.04014098,0.97
y1,103,0.0086739,0.041105334,0.97999996
y1,104,-0.0012652368,0.03748014,1.0
y1,105,-0.0014730892,0.036005493,1.0
y1,106,-0.010187688,0.035431627,0.97999996
y1,107,0.0009114566,0.042424954,1.0
y1,108,-0.004145616,0.039511472,0.96
y1,109,-0.0044137184,0.03940474,0.97999996
y1,110,-0.014495376,0.03865756,0.98
y1,111,-0.006358619,0.04310245,0.97999996
y1,112,0.0033302505,0.041412942,0.99000007
y1,113,0.008305492,0.039400425,0.96999997
y1,114,0.004229014,0.03813906,0.98
y1,115,-0.006387666,0.034138396,1.0
y1,116,-0.0006674206,0.037426792,0.97999996
y1,117,-0.0024497772,0.043704454,0.9500001
y1,118,0.0029221654,0.03730328,0.99000007
y1,119,-0.0013811634,0.044339534,0.97999996
y1,120,0.0024663396,0.032432225,0.99000007
y1,121,-0.00389767,0.044428285,0.97999996
y1,122,0.00030248234,0.036185265,0.99000007
y1,123,0.002093723,0.03767722,0.9400001
y1,124,0.004406027,0.040519707,0.99000007
y1,125,0.0009330345,0.040271424,0.97999996
y1,126,-0.022741508,0.041791555,0.96999997
y1,127,0.0062408326,0.03841797,0.98
y1,128,-0.0071393233,0.039536744,1.0
y1,129,0.001933245,0.036876593,0.97999996
y1,130,-0.00507111,0.036403395,1.0
y1,131,0.006058408,0.02916982,0.97999996
y1,132,-0.005091689,0.040370736,0.97999996
y1,133,0.0026900242,0.03654952,0.96999997
y1,134,0.006553409,0.033797648,0.96
y1,135,-0.007168039,0.034377653,0.99000007
y1,136,-0.008053773,0.03911506,0.99000007
y1,137,-0.007472426,0.03555154,0.97999996
y1,138,-0.008965024,0.038308013,0.9900001
y1,139,0.010337011,0.042753525,0.97
y1,140,-0.0048199994,0.035613522,0.98
y1,141,0.013449829,0.039424263,0.97999996
y1,142,-0.0060873996,0.042933173,0.99000007
y1,143,0.014723667,0.042982124,0.99000007
y1,144,-0.013647232,0.03526661,0.97
y1,145,0.005177272,0.037371162,0.9700001
y1,146,0.0045926617,0.037895847,0.96000004
y1,147,0.0057032355,0.04226681,0.97999996
y1,148,-0.004087429,0.03578848,0.97999996
y1,149,0.004439722,0.037322495,1.0
y1,150,0.0056986045,0.03447386,0.99000007
y1,151,-0.004851884,0.04480989,0.97999996
y1,152,-0.0059486446,0.038873732,0.97999996
y1,153,-0.0137577215,0.04040561,0.99000007
y1,154,0.009311992,0.042545326,0.96
y1,155,0.004247288,0.038869843,0.99000007
y1,156,-0.005656063,0.035588358,0.96000004
y1,157,0.007026853,0.038438544,0.99000007
y1,158,0.009377826,0.035297066,0.97999996
y1,159,0.0042200997,0.038497623,0.96
y1,160,-0.0077671725,0.03649436,1.0
y1,161,-0.0031343496,0.034411184,0.95000005
y1,162,-0.010540003,0.03960225,0.99000007
y1,163,0.0010336878,0.041844316,0.9700001
y1,164,0.0027812857,0.041327372,1.0
y1,165,-0.018033393,0.04038499,1.0
y1,166,0.0021902076,0.036084663,1.0
y1,167,-0.014748504,0.03865866,0.97000015
y1,168,-0.0025981672,0.037939925,1.0
y1,169,0.006884947,0.03658258,0.97
y1,170,0.010512556,0.038592886,0.99000007
y1,171,0.0072309724,0.0386036,0.9700001
y1,172,-0.0030052955,0.041269362,0.99000007
y1,173,-0.0074539697,0.038977843,0.96999997
y1,174,1.4996341e-5,0.037540536,0.97999996
y1,175,0.007566393,0.032113165,0.99000007
y1,176,-0.005663722,0.040941995,0.96999997
y1,177,-0.012897781,0.037708446,0.97999996
y1,178,0.010309672,0.03707479,0.99000007
y1,179,-0.0060861227,0.037437297,0.97999996
y1,180,-0.005499108,0.037672415,0.98
y1,181,-0.0086520985,0.03753725,1.0
y1,182,-1.7144768e-5,0.042152252,0.99000007
y1,183,0.007103416,0.03663081,0.96999997
y1,184,0.005288004,0.037096404,1.0
y1,185,0.012027733,0.042978458,0.99000007
y1,186,-0.009346004,0.040315256,1.0
y1,187,-0.03597814,0.043829024,0.99
y1,188,0.0012772962,0.03212957,0.97
y1,189,-0.005228411,0.038669996,0.9700001
y1,190,0.0068251984,0.03818458,0.99000007
y1,191,0.0070286803,0.039496455,0.98
y1,192,-0.005859267,0.034538914,0.9600001
y1,193,0.022682738,0.034890354,1.0
y1,194,-0.002099601,0.03458721,0.97
y1,195,0.002856782,0.036312398,0.97999996
y1,196,0.0026008505,0.03500944,0.97999996
y1,197,-0.007789557,0.037106723,0.96999997
y1,198,0.015280848,0.03901077,0.97
y1,199,-0.006538683,0.040045075,1.0
y1,200,-0.0050728675,0.041812174,0.98
y1,201,0.016358605,0.03570001,0.99
y1,202,-0.015314612,0.038866397,0.97
y1,203,-0.00796039,0.037252985,0.97999996
y1,204,0.014009672,0.041400153,0.9700001
y1,205,-0.0049105855,0.043567646,0.99000007
y1,206,0.0023608669,0.037408676,0.99000007
y1,207,-0.01935398,0.038720615,1.0
y1,208,-0.011509761,0.040525667,0.99000007
y1,209,0.00046640864,0.031031251,0.96
y1,210,-0.0019582845,0.03528525,1.0
y1,211,0.0048217434,0.036629844,1.0
y1,212,-0.008854165,0.037422866,0.99000007
y1,213,0.013278344,0.035160083,0.99000007
y1,214,0.0023450968,0.041712735,1.0
y1,215,-0.00027173012,0.033727724,0.97999996
y1,216,0.0037814565,0.034904458,0.97999996
y1,217,-0.0032962903,0.036249626,0.97999996
y1,218,-0.016640259,0.0445824,1.0
y1,219,0.020266574,0.03956172,0.95000005
y1,220,0.0017123205,0.04071318,0.98
y1,221,-0.0144417,0.034540787,0.9900001
y1,222,0.0067949193,0.039796047,0.97999996
y1,223,0.007123512,0.041732073,0.99000007
y1,224,-0.008932836,0.04156311,0.97
y1,225,0.0023996802,0.039488245,0.9700001
y1,226,-0.004552565,0.04090116,0.99000007
y1,227,-0.006069631,0.03923969,0.97999996
y1,228,-0.00092807505,0.038748905,0.97
y1,229,-0.0021632186,0.03987599,0.99000007
y1,230,0.009052189,0.039115585,0.99000007
y1,231,-0.005464969,0.03588069,0.99000007
y1,232,-0.001586585,0.03651288,1.0
y1,233,0.015414602,0.037571777,0.97000015
y1,234,-0.008921109,0.035235707,0.97
y1,235,-0.01322128,0.0373822,0.95
y1,236,0.0025549536,0.037474394,0.98
y1,237,-0.013448479,0.036784124,0.97999996
y1,238,-0.011339566,0.035634816,0.96
y1,239,0.0057755504,0.038897336,0.96000004
y1,240,0.0045125354,0.034290064,0.9700001
y1,241,0.0051882835,0.037601683,0.96
y1,242,0.0017950404,0.037037186,0.96999997
y1,243,0.00658771,0.02979274,0.97
y1,244,0.0002528881,0.04008105,0.97
y1,245,-0.0018146177,0.034527637,0.9499999
y1,246,-0.0011438938,0.03862706,0.99000007
y1,247,0.0032894227,0.044669066,0.96999997
y1,248,0.012418869,0.03617158,0.9700001
y1,249,-0.013805614,0.030463029,0.99
y1,250,0.0028537167,0.036264963,1.0
y1,251,0.0054393173,0.035259318,0.97999996
y1,252,-0.013751222,0.03831233,0.98
y1,253,0.005165452,0.04080592,0.98
y1,254,0.0006916738,0.0379572,1.0
y1,255,-0.00014093501,0.036763176,0.97999996
y1,256,0.011096613,0.03491293,0.95000005
y1,257,0.017044518,0.033984542,0.99000007
y1,258,0.015857562,0.035694398,0.99000007
y1,259,0.005842988,0.03200611,0.94000006
y1,260,0.007295944,0.04419462,0.99000007
y1,261,0.0025665201,0.04396055,0.98
y1,262,-0.0017910907,0.036981303,0.96999997
y1,263,-0.020068161,0.03786374,0.97
y1,264,-0.00419741,0.035601873,1.0
y1,265,0.0075458093,0.048134893,1.0
y1,266,-0.009843018,0.036931362,0.9400001
y1,267,0.002137348,0.039177112,0.9600001
y1,268,0.004479531,0.04223327,0.97
y1,269,-0.0077411607,0.034241587,0.96
y1,270,-0.0077016167,0.040741988,0.97999996
y1,271,-0.010560217,0.032844476,0.98
y1,272,-0.003775955,0.039039876,0.98
y1,273,0.000942703,0.040509667,0.99000007
y1,274,0.0046996204,0.0432765,0.97
y1,275,0.00066404254,0.04088238,0.96999997
y1,276,0.012592924,0.03700951,0.99000007
y1,277,0.015277279,0.042975012,0.96999997
y1,278,0.001981205,0.03558683,0.96
y1,279,-0.022081524,0.037765235,0.99000007
y1,280,0.0003913719,0.03799653,0.96
y1,281,-0.00755115,0.039141737,0.97999996
y1,282,-0.00440603,0.036591895,0.97999996
y1,283,0.006273416,0.04308838,0.97999996
y1,284,-0.007196443,0.044827722,1.0
y1,285,-0.0006285024,0.036629524,1.0
y1,286,-0.0069439793,0.033712097,1.0
y1,287,0.0033169913,0.044044826,0.99000007
y1,288,0.005436664,0.036815774,0.98
y1,289,0.001361358,0.035633646,0.99000007
y1,290,0.006726632,0.04636408,0.99000007
y1,291,-0.0049989033,0.039708063,0.99000007
y1,292,0.0049159965,0.03961917,1.0
y1,293,0.00678538,0.042991776,0.99000007
y1,294,0.009855815,0.040143512,0.97
y1,295,0.008170088,0.036285087,0.97
y1,296,0.0038533702,0.03919731,0.98
y1,297,0.013374898,0.042303577,0.99000007
y1,298,0.00777746,0.037454538,0.97999996
y1,299,0.010606965,0.03374478,0.95
y1,300,0.0057034413,0.037433423,0.97999996
y1,301,-9.6063035e-5,0.037133504,0.96000004
y1,302,0.0042329016,0.036394157,0.97
y1,303,0.0067348825,0.038385745,0.99000007
y1,304,0.0106599135,0.037244927,0.96000004
y1,305,0.012272438,0.0354278,0.99000007
y1,306,0.013084723,0.038119856,0.99000007
y1,307,0.016668519,0.04191395,0.96000004
