Supplementary File 1: Average recombination rates (based on all 4 pedigrees) for all 1 Mb bins. 
The start eand end position of the bins are shown in columns 4 and 6. 
Start and end positions were based on the exact position of the SNPs on genome build Sscrofa10.2. 
The names of the SNPs are shown in columns 3 and 5

ssc	Bin (1Mb)	snp start	position	snp end	position	rec rate  
1	0	ASGA0000014	342481	MARC0110724	1166552	5,57E-05
1	1	MARC0110724	1166552	ASGA0000309	2010349	0,033156774
1	2	ASGA0000309	2010349	MARC0000620	3008501	0,065205067
1	3	MARC0000620	3008501	ALGA0000277	4022389	0,284949149
1	4	ALGA0000277	4022389	SIRI0001096	5008585	0,535138904
1	5	SIRI0001096	5008585	ALGA0000388	6010365	0,549508507
1	6	ALGA0000388	6010365	ALGA0119138	7149806	0,689349961
1	7	ALGA0119138	7149806	ASGA0000636	8004890	2,341984278
1	8	ASGA0000636	8004890	M1GA0000623	9221985	1,380694029
1	9	M1GA0000623	9221985	MARC0070803	10010333	1,407521139
1	10	MARC0070803	10010333	H3GA0056093	11012998	0,511606739
1	11	H3GA0056093	11012998	MARC0041880	12001630	2,154690089
1	12	MARC0041880	12001630	CASI0010077	13068895	0,733714842
1	13	CASI0010077	13068895	ALGA0001037	14097456	0,707173504
1	14	ALGA0001037	14097456	ALGA0001112	15045014	2,080100921
1	15	ALGA0001112	15045014	M1GA0000775	16038746	1,115163484
1	16	M1GA0000775	16038746	MARC0027620	17004757	1,649875491
1	17	MARC0027620	17004757	ASGA0001363	18150850	3,376926519
1	18	ASGA0001363	18150850	M1GA0000819	19017181	0,483507829
1	19	M1GA0000819	19017181	ALGA0001488	20022938	0,973771524
1	20	ALGA0001488	20022938	MARC0090401	21017894	1,643069291
1	21	MARC0090401	21017894	ASGA0001556	22042965	0,708104444
1	22	ASGA0001556	22042965	H3GA0054791	23041590	0,6562759
1	23	H3GA0054791	23041590	MARC0004459	24006028	1,139548062
1	24	MARC0004459	24006028	MARC0018818	25010377	2,492296678
1	25	MARC0018818	25010377	ALGA0001752	26091832	0,21450775
1	26	ALGA0001752	26091832	DRGA0000289	27020977	0,145283359
1	27	DRGA0000289	27020977	ALGA0001796	28050709	0,139959984
1	28	ALGA0001796	28050709	ALGA0001854	29026999	0,469760148
1	29	ALGA0001854	29026999	ASGA0001781	30017551	0,412945022
1	30	ASGA0001781	30017551	MARC0053321	31083972	0,875185875
1	31	MARC0053321	31083972	DRGA0000392	32021937	0,50957024
1	32	DRGA0000392	32021937	ASGA0001969	33008187	1,280529044
1	33	ASGA0001969	33008187	DRGA0000441	34041907	0,806664995
1	34	DRGA0000441	34041907	H3GA0001359	35046144	0,906527313
1	35	H3GA0001359	35046144	H3GA0001389	36021536	0,752027616
1	36	H3GA0001389	36021536	DRGA0000530	37112499	0,62586791
1	37	DRGA0000530	37112499	DRGA0000548	38044337	0,469203978
1	38	DRGA0000548	38044337	ASGA0002301	39114174	0,259681173
1	39	ASGA0002301	39114174	H3GA0001456	40017655	0,464794387
1	40	H3GA0001456	40017655	DRGA0000587	41031348	0,495880406
1	41	DRGA0000587	41031348	DRGA0000604	42106831	0,518442283
1	42	DRGA0000604	42106831	ALGA0002768	43045248	0,267664937
1	43	ALGA0002768	43045248	SIRI0000080	44013987	0,202267301
1	44	SIRI0000080	44013987	ASGA0002448	45116274	0,065890092
1	45	ASGA0002448	45116274	ASGA0002479	46197863	0,118474134
1	46	ASGA0002479	46197863	H3GA0001545	47322527	0,117584186
1	47	H3GA0001545	47322527	ALGA0002905	48013733	0,473513214
1	48	ALGA0002905	48013733	ASGA0002548	49026306	0,413215074
1	49	ASGA0002548	49026306	ALGA0003008	50034044	0,194448455
1	50	ALGA0003008	50034044	DRGA0000754	51037015	0,122682812
1	51	DRGA0000754	51037015	ALGA0003089	52040273	0,085258281
1	52	ALGA0003089	52040273	ALGA0003122	53023914	0,117320923
1	53	ALGA0003122	53023914	SIRI0000263	54033593	0,116748554
1	54	SIRI0000263	54033593	ALGA0003200	55040741	0,059632437
1	55	ALGA0003200	55040741	MARC0094661	56004411	0,130909849
1	56	MARC0094661	56004411	MARC0031638	57012775	0,49794908
1	57	MARC0031638	57012775	DRGA0000881	58006061	0,288777201
1	58	DRGA0000881	58006061	INRA0002365	59033524	0,918191849
1	59	INRA0002365	59033524	MARC0052536	60028739	0,245967312
1	60	MARC0052536	60028739	H3GA0001770	61002086	0,401862926
1	61	H3GA0001770	61002086	MARC0051679	62058511	0,070913159
1	62	MARC0051679	62058511	ASGA0002998	63025137	0,141326794
1	63	ASGA0002998	63025137	ASGA0003045	64018444	0,354161812
1	64	ASGA0003045	64018444	MARC0001388	65008123	0,256570101
1	65	MARC0001388	65008123	ASGA0003117	66015914	0,576190349
1	66	ASGA0003117	66015914	DRGA0001009	67050038	0,020485921
1	67	DRGA0001009	67050038	ASGA0003164	68187096	0,048037493
1	68	ASGA0003164	68187096	ALGA0003873	69039001	0,061015524
1	69	ALGA0003873	69039001	ALGA0003893	70002082	0,101059325
1	70	ALGA0003893	70002082	ASGA0097561	71065994	0,065110247
1	71	ASGA0097561	71065994	DRGA0001092	72094887	0,060202374
1	72	DRGA0001092	72094887	ALGA0003953	73100657	0,119798531
1	73	ALGA0003953	73100657	DRGA0001106	74019662	0,178403028
1	74	DRGA0001106	74019662	ALGA0004035	75002664	0,200792147
1	75	ALGA0004035	75002664	ASGA0003304	75994076	0,257247547
1	76	ASGA0003304	75994076	ASGA0083304	77011485	0,093849511
1	77	ASGA0083304	77011485	DRGA0001127	77999034	0,011313008
1	78	DRGA0001127	77999034	ALGA0004191	79048821	0,152869759
1	79	ALGA0004191	79048821	ASGA0003346	80117735	0,118920679
1	80	ASGA0003346	80117735	MARC0029520	81036664	0,333431725
1	81	MARC0029520	81036664	MARC0000006	82050327	0,305149797
1	82	MARC0000006	82050327	MARC0025539	83022518	0,182850866
1	83	MARC0025539	83022518	ASGA0003503	84007856	0,14270955
1	84	ASGA0003503	84007856	ASGA0098061	85248481	0,089348285
1	85	ASGA0098061	85248481	MARC0010696	86014836	0,1439733
1	86	MARC0010696	86014836	DRGA0001180	87012148	0,112920159
1	87	DRGA0001180	87012148	INRA0002998	88055468	0,441754816
1	88	INRA0002998	88055468	H3GA0002137	89376042	0,067787631
1	89	H3GA0002137	89376042	INRA0003035	90085632	0,072390798
1	90	INRA0003035	90085632	ASGA0003633	91015459	0,117727367
